Intake24 code,Action,English Description,Local description,Local description/Malay,Local description/Mandarin,Local description/Tamil,Food composition table,Food composition record ID,Ready Meal Option,Same As Before Option,Reasonable Amount,Use In Recipes,Associated Food / Category,Brand Names,Associated Food / Category (Malay),Associated Food / Category (Tamil),Portion size estimation methods,Categories,,,,,,,
BAKI,1,Baking powder,Baking powder,,,,AUSNUT,14B10174,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 4.55, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 18.2, unit1-omit-food-description: false",MISC,RWFD,,,,,,
BAKL,2,Baklava,Baklava,Baklava,巴克拉瓦甜点,"பக்லாவா, ஸ்வீட்",Australia,02E50259,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 50, unit0-omit-food-description: false",CAKE,FRTP,,,,,,
BAMS,1,"Bamboo shoots, canned","Bamboo shoots, canned",,,,AUSNUT,13A11774,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans",SLW1,SW05,VTGB,,,,,
BANA,3,Banana,"Banana, fresh",Pisang,新鲜香蕉,வாழைப்பழம்,MyFCD,106004,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: bans, leftovers-image-set: bans_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: Gban
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 19, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 237.5, unit1-omit-food-description: false",FREF,FRTS,SLW1,SW05,,,,
BANF,2,Banoffee pie,Banoffee pie,Pai Banoffee,"香蕉太妃派, banoffee","பனோஃபி பை, pie",Australia,02E50242,FALSE,Inherited,Inherited,Inherited,"CREM({en: Did you have cream with your Banoffee pie?}),
ICEC({en: Did you have Ice cream with your Banoffee pie?})",,"CREM({ms: Adakah anda mengambil krim bersama pai Banoffee?}),
ICEC({ms: Adakah anda mengambil aiskrim bersama pai Banoffee?})","CREM({ta: பானோஃபி பை உடன் சேர்த்து கிரீம் சாப்பிட்டீர்களா?}),
ICEC({ta: பானோஃபி பை உடன் சேர்த்து ஐஸ்கிரீம் சாப்பிட்டீர்களா?})
","Method: as-served, conversion: 1.0, serving-image-set: NDNS_cheesecake, leftovers-image-set: NDNS_cheesecake_leftovers",DESS,PIES,,,,,,
BANM,2,Banana muffins,Banana muffins,Mafin Pisang,"香蕉馬芬, muffin",வாழைப்பழ மஃபின்,HPB,SIN00002096,FALSE,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gcake
Method: guide-image, conversion: 1.0, guide-image-id: Gmuffscone",CAKE,FRYC,,,,,,
BARA,2,"Barramundi (no batter/breadcrumbs), grilled / baked / roasted / fried","Barramundi (no batter/breadcrumbs), grilled / baked / roasted / fried","Siakap (Tidak bersalut), Bakar/Panggang/Goreng",烤/烘烤/炸巴拉眼鲈鱼（无面糊/面包屑）,"கொடுவா மீன் (வறுவல்,  ரோஸ்ட், சுட்ட மீன் ,  பொரியல்), uncoated",Australia,05A10785,TRUE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: salmon_steak
Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: small_fillets, unit0-weight: 66, unit0-omit-food-description: true, unit1-name: medium_fillets, unit1-weight: 91, unit1-omit-food-description: true, unit2-name: large_fillets, unit2-weight: 128, unit2-omit-food-description: true",FFLT,FISH,SLW1,SW03,,,,
BASI,1,"Basil, fresh","Basil, fresh",,,,AUSNUT,13A11684,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: teaspoons, unit0-weight: 1.3, unit0-omit-food-description: false",HRBS,HRSP,SLW2,SW06,,,,
BAVS,1,Bean and vegetable soup (includes homemade),Bean and vegetable soup (includes homemade),,,,AUSNUT,10C10474,FALSE,Inherited,Inherited,Inherited,"BRED, CARB",,,,"Method: as-served, conversion: 1.0, serving-image-set: soup, leftovers-image-set: soup_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans",SOUP,VGSP,,,,,,
BAYL,1,Bay leaf,Bay leaf,,,,AUSNUT,13A11684,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: teaspoons, unit0-weight: 1.3, unit0-omit-food-description: false",HRBS,HRSP,SLW2,SW06,,,,
BBAO,1,Savoury steamed bun (e.g. barbeque pork bun),Savoury steamed bun (e.g. barbeque pork bun),,,,AUSNUT,02E60312,Inherited,Inherited,Inherited,Inherited,COND,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: average_sized_dim_sum, unit0-weight: 40, unit0-omit-food-description: false",MDSH,MEAT,PDSH,,,,,
BBCT,3,Baked beans e.g. Heinz,Baked beans e.g. Heinz,Kacang Panggang E.g Heinz,番茄酱焗豆（例如Ayam Brand，Heinz）,"கடற்படை பீன்ஸ், Heinz, Baked beans",MyFCD,103031,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: beans_baked, leftovers-image-set: beans_baked_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 22, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 275, unit1-omit-food-description: false",BBNS,SLW1,SW05,VTGB,,,,
BBFG,3,Beef burger patty (no bun),"Burger, beef (patty only)",Daging Burger Lembu (Tiada Roti),牛肉汉堡饼（不含面包）,மாட்டு இறைச்சி பர்கர் ( Patty only),MyFCD,108003,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gbur",BBRG,BRGS,MEAT,,,,,
BBFR,1,"Frozen broad beans, boiled","Frozen broad beans, boiled",,,,AUSNUT,13A11873,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 13.6, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 170, unit1-omit-food-description: false",BBNS,SLW1,SW05,VTGB,,,,
BBPD,2,Bread and butter pudding,Bread and butter pudding,Puding Roti dan Mentega,面包黄油布丁,"பிரட் பட்டர் புட்டிங், pudding",Australia,02E50266,TRUE,Inherited,Inherited,Inherited,"CREM({en: Did you have cream with your Bread and butter pudding?}),
ICEC({en: Did you have ice cream with your Bread and butter pudding?}),
CSTD({en: Did you have custard with your Bread and butter pudding?})",,"CREM({ms: Adakah anda mengambil krim bersama puding roti dan mentega?}),
ICEC({ms: Adakah anda mengambil aiskrim bersama puding roti dan mentega?}),
CSTD({ms: Adakah anda mengambil kastad bersama puding roti dan mentega?})","CREM({ta: பிரட் பட்டர் புட்டிங் உடன் சேர்த்து கிரீம் சாப்பிட்டீர்களா?}),
ICEC({ta: பிரட் பட்டர் புட்டிங் உடன் சேர்த்து ஐஸ்கிரீம் சாப்பிட்டீர்களா?}),
CSTD({ta: பிரட் பட்டர் புட்டிங் உடன் சேர்த்து கஸ்டர்ட் சாப்பிட்டீர்களா?})","Method: as-served, conversion: 1.0, serving-image-set: sponge_pudding, leftovers-image-set: sponge_pudding_leftovers",BRDS,BRED,DESS,SSPD,,,,
BBQS,2,BBQ sauce,BBQ sauce,Sos BBQ,烧烤酱,"பார்பிக்யூ சுவைச்சாறு, BBQ",HPB,SIN00002898,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.15, serving-image-set: sauce_dollop, leftovers-image-set: sauce_dollop_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.65, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 22.6, unit1-omit-food-description: false",BBFS,COND,SLW2,SW06,,,,
BBSS,1,Baked beans and sausages e.g. Heinz,Baked beans and sausages e.g. Heinz,,,,AUSNUT,13B20278,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: baked_beans_sausages, leftovers-image-set: baked_beans_sausages_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 22, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 275, unit1-omit-food-description: false",BBNS,SLW1,SW05,VTGB,,,,
BBTL,2,"Baked beans, reduced salt e.g. Heinz","Baked beans, reduced salt e.g. Heinz","Kacang Panggang, Kurang Garam Contoh: Heinz",低盐烘烤豆 (例如Heinz),"உப்பு குறைவானா கடற்படை பீன்ஸ், Heinz, Baked beans",Australia,13B20233,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: beans_baked, leftovers-image-set: beans_baked_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 22, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 275, unit1-omit-food-description: false",BBNS,SLW1,SW05,VTGB,,,,
BBUR,2,Beef burritos (includes homemade),Beef burritos (includes homemade),Burito Daging Lembu (Termasuk Buatan Sendiri),牛肉卷饼（包括自制）,"மாட்டு இறைச்சி புரித்தொ (வீட்டில் தயாரிக்கப்பட்டது ), burritos",Australia,02F40457,TRUE,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: burritos, unit0-weight: 350, unit0-omit-food-description: true",BDSH,MDSH,MEAT,,,,,
BBYL,2,"Babybel, light","Babybel, light",Baybel (Kurang Lemak),Babybel 低脂芝士,"மிதமான பாலாடைக்கட்டி, சீஸ், light babybel",Australia,09B20092,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pieces, unit0-weight: 21, unit0-omit-food-description: false",CHES,CHSE,SLW1,SPRD,,,,
BCJC,3,"Blackcurrant squash (juice), diluted e.g. Ribena","Cordial, grape (e.g Ribena)","Kordial, jus Balckcurrant contoh: Ribena",浓缩果汁、葡萄 (例如Ribena),"பழச்சாறு, cordial, ribena",HPB,SIN00000949,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false",DRNK,SQDK,,,,,,
BCTA,2,"Fish with batter/breadcrumbs, from takeaway shop","Fish with batter/breadcrumbs, from takeaway shop","Ikan Disalut Tepung/Serbuk Roti, Dari Kedai",外卖店的炸鱼（有面糊/面包屑）,மீன் வறுவல் / பொரியல் (வீட்டில் தயாரிக்கப்பட்டது அல்ல),Australia,05A10735,FALSE,Inherited,Inherited,Inherited,"COND({en: Did you have sauces / condiments / gravy / stock with your Fish with batter/breadcrumbs, from takeaway shop?})",,"COND({ms: Adakah anda mengambil sos / kuah bersama ikan disalut tepung/serbuk roti, dari kedai?})","COND({ta: மாவுவுடன் கூடிய மீன், கடையிலிருந்து எடுத்து செல்ல உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?}),
","Method: as-served, conversion: 1.0, serving-image-set: fish_batter",CODB,FISH,,,,,,
BCYC,1,"Beef curry, coconut / cream based e.g. korma, pasanda, rendang, Thai curry","Beef curry, coconut / cream based e.g. korma, pasanda, rendang, Thai curry",,,,AUSNUT,08F10931,TRUE,Inherited,Inherited,Inherited,"CARB, BRED",,,,"Method: as-served, conversion: 1.0, serving-image-set: chicken_sauce, leftovers-image-set: chicken_sauce_leftovers",BDSH,MDSH,MEAT,,,,,
BDEG,1,"Duck eggs, boiled / poached / scrambled","Duck eggs, boiled / poached / scrambled ",,,,AUSNUT,03A10087,Inherited,Inherited,Inherited,Anywhere,,,,,"Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: medium_eggs, unit0-weight: 58, unit0-omit-food-description: true, unit1-name: large_eggs, unit1-weight: 67, unit1-omit-food-description: true, unit2-name: extra_large_eggs, unit2-weight: 77, unit2-omit-food-description: true",EGGD,EGGS,SLW1,SW05,,,,
BDSS,2,"Boiled lollies with soft centre, e.g Chocolate eclairs","Boiled lollies with soft centre, e.g Chocolate eclairs",Gula-gula Dengan Isian Lembut Ditengah E.g Coklat Eclairs,煮糖果，中心软 (例如 Chocolate eclairs),"மென்மையான மையத்துடன் வேகவைத்த லாலிகள், எ.கா. சாக்லேட் எக்லேர்ஸ்",Australia,12C10453,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: sweets, unit0-weight: 6, unit0-omit-food-description: true",BOIL,CONF,,,,,,
BDSW,2,"Boiled lollies with hard centre e.g. Barley sugars, Fruit drops","Boiled lollies with hard centre e.g. Barley sugars, Fruit drops","Gula-gula Dengan Isian Keras Ditengah E.g Gula-gula Barli,","煮糖果，中心硬 (例如 Barley sugars, Fruit drops)","கடின மையத்துடன் வேகவைத்த லாலி எ.கா. பார்லி சர்க்கரைகள், பழ துளிகள்",Australia,12C10428,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: sweets, unit0-weight: 6.3, unit0-omit-food-description: true",BOIL,CONF,,,,,,
BEAN,1,Bean salad,Bean salad,,,,AUSNUT,13B10264,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: kidney_beans
Method: standard-portion, conversion: 1.0, units-count: 4, unit0-name: takeaway_portions, unit0-weight: 150, unit0-omit-food-description: false, unit1-name: small_tubs, unit1-weight: 250, unit1-omit-food-description: false, unit2-name: medium_tubs, unit2-weight: 400, unit2-omit-food-description: false, unit3-name: large_tubs, unit3-weight: 800, unit3-omit-food-description: false",BNDS,C000,SLW1,SW05,VTGB,,,
BEAS,1,"Beansprouts, canned","Beansprouts, canned",,,,AUSNUT,13A11775,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 2.8, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 35, unit1-omit-food-description: false",BBNS,SLW1,SW05,VTGB,,,,
BEBE,1,"Black eyed beans, dried","Black eye beans, dried",,,,AUSNUT,13A20124,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 14.4, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 180, unit1-omit-food-description: false",DBBNS,RWFD,,,,,,
BEBO,1,"Mexican beef wrap, ready meal e.g. Lean Cuisine","Mexican beef wrap, ready meal e.g. Lean Cuisine",,,,AUSNUT,02F40347,TRUE,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: packs, unit0-weight: 380, unit0-omit-food-description: false",BDSH,MDSH,MEAT,,,,,
BEBU,2,Bean burger patty (no bun),Bean burger patty (no bun),Burger Vegetarian Kekacang (Tiada Roti),豆类汉堡饼（不含面包）,பீன் பர்கர் பட்டி (ரொட்டி இல்லாமல்),HPB,13B10292,TRUE,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: Gbur",BNDS,BRGO,BRGS,MEAT,SW05,VGDI,,
BECA,1,Cannelloni filled with beef bolognese sauce,Cannelloni filled with beef bolognese sauce,,,,AUSNUT,02F40435,TRUE,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: cannelloni_tubes, unit0-weight: 100, unit0-omit-food-description: true",CARB,PSTA,PTDH,,,,,
BEDR,1,Beef dripping,Beef dripping,,,,AUSNUT,04D10039,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: tablespoons, unit0-weight: 17, unit0-omit-food-description: false",BTTR,OANF,,,,,,
BEFF,1,"Beef fillet steak, fried","Beef fillet steak, fried",,,,AUSNUT,08A11318,FALSE,Inherited,Inherited,Inherited,COND,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: steaks, unit0-weight: 147, unit0-omit-food-description: true",MEAT,STEK,,,,,,
BEFG,2,"Beef fillet steak, grilled","Beef fillet steak, grilled","Stik Daging Lembu, Bakar","烤牛柳, steak",வறுக்கப்பட்ட மாட்டிறைஃசி,HPB,SIN00000239,FALSE,Inherited,Inherited,Inherited,"COND({en: Did you have sauces / condiments / gravy / stock with your Beef fillet steak, grilled?})",,"COND({ms: Adakah anda mengambil sos / kuah bersama stik daging lembu, bakar?})","COND({ta: வறுக்கப்பட்ட மாட்டிறைஃசி உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் /  குழம்பு சாப்பிட்டீர்களா?}),
","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: steaks, unit0-weight: 147, unit0-omit-food-description: true",MEAT,STEK,,,,,,
